split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_val,confidence,0.9999935483932495,0.3201638864501024,0.000914076782449702,1094,3417
known_val,confidence,0.9999946355819702,0.31021363769388355,0.0009433962264151496,1060,3417
known_val,confidence,0.9999953508377075,0.30231196956394496,0.0009680542110358514,1033,3417
known_val,confidence,0.9999960660934448,0.2914837576821773,0.0010040160642570406,996,3417
known_val,confidence,0.9999966049194335,0.2800702370500439,0.0010449320794148065,957,3417
known_val,confidence,0.9999972581863403,0.2709979514193737,0.001079913606911398,926,3417
known_val,confidence,0.9999978542327881,0.2607550482879719,0.001122334455667784,891,3417
known_val,confidence,0.9999980926513672,0.25256072578285044,0.0011587485515642815,863,3417
known_val,confidence,0.9999984502792358,0.24173251390108283,0.001210653753026647,826,3417
known_val,confidence,0.9999986886978149,0.23383084577114427,0.0012515644555695093,799,3417
known_val,confidence,0.9999990463256836,0.22066139888791336,0.0,754,3417
known_val,confidence,0.9999991655349731,0.21363769388352355,0.0,730,3417
known_val,confidence,0.9999992847442627,0.20690664325431665,0.0,707,3417
known_val,confidence,0.9999994039535522,0.19988293824992684,0.0,683,3417
known_val,confidence,0.9999996423721313,0.18027509511267192,0.0,616,3417
known_val,confidence,0.9999996423721313,0.18027509511267192,0.0,616,3417
known_val,confidence,0.9999997615814209,0.16330114135206322,0.0,558,3417
known_val,confidence,0.9999997615814209,0.16330114135206322,0.0,558,3417
known_val,confidence,0.9999998807907104,0.14457126134035703,0.0,494,3417
known_val,confidence,0.9999998807907104,0.14457126134035703,0.0,494,3417
known_val,confidence,0.9999998807907104,0.14457126134035703,0.0,494,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_val,confidence,1.0,0.11208662569505413,0.0,383,3417
known_test,confidence,0.3495076596736908,1.0,0.07880910683012254,3426,3426
known_test,confidence,0.5145729184150696,0.9897840046701692,0.07283987024476557,3391,3426
known_test,confidence,0.5897722542285919,0.9798598949211909,0.06851355376824542,3357,3426
known_test,confidence,0.6316962838172913,0.9699357851722125,0.06349684020463442,3323,3426
known_test,confidence,0.6680346131324768,0.9600116754232341,0.05959258133171175,3289,3426
known_test,confidence,0.7206566631793976,0.9497956800934034,0.0543945912722803,3254,3426
known_test,confidence,0.7573024332523346,0.939871570344425,0.05155279503105592,3220,3426
