score_method,direction,selected_threshold_from_val,val_binary_balanced_accuracy,val_known_coverage,val_unknown_rejection_rate,val_known_accuracy_accepted,val_selective_risk,val_auroc_known_vs_unknown,test_binary_balanced_accuracy,test_known_coverage,test_unknown_rejection_rate,test_known_accuracy_accepted,test_selective_risk,test_auroc_known_vs_unknown
confidence,higher_is_known,0.998321158016373,0.7811479456015458,0.6719344454199591,0.8903614457831326,0.9921602787456446,0.007839721254355392,0.8429287827340971,0.7836561658191434,0.684179801517805,0.883132530120482,0.9906143344709898,0.009385665529010212,0.849801218886052
max_logit,higher_is_known,7.173780989790249,0.8088921974112429,0.752121744220076,0.8656626506024097,0.9782101167315175,0.021789883268482524,0.8754015182767947,0.8082550868975025,0.7659077641564507,0.8506024096385543,0.9801829268292683,0.01981707317073167,0.8782059938528194
energy,lower_is_known,-7.177558458400871,0.8099079372802889,0.7547556335967223,0.8650602409638555,0.9763474214811942,0.023652578518805756,0.876777346435787,0.8082457676590776,0.7664915353181553,0.85,0.9790555978674791,0.020944402132520912,0.8789459062168112
